epoch,acc,loss,val_acc,val_loss
0,0.238925,2.07766641026,0.3384,2.01977759552
1,0.318075,1.89985893555,0.3655,1.92019352036
2,0.3595,1.80169677734,0.3953,1.85277693481
3,0.3836,1.73738956184,0.4178,1.78970755005
4,0.4033,1.67865523243,0.4335,1.74988304176
5,0.4195,1.62625293503,0.4534,1.69521061687
6,0.438725,1.58322516365,0.4532,1.66471682358
7,0.44715,1.54299482346,0.4746,1.61770333233
8,0.462975,1.51031027203,0.4777,1.60220034065
9,0.47415,1.47279642448,0.4921,1.55508048687
10,0.478275,1.4519791317,0.5061,1.53251126995
11,0.491575,1.42692536736,0.5066,1.51450060368
12,0.4976,1.40509383526,0.5105,1.50054040222
13,0.5005,1.39734885998,0.5188,1.48324065361
14,0.5103,1.37178504047,0.536,1.46153605118
15,0.5176,1.36004560432,0.5284,1.4576037693
16,0.5225,1.34274750195,0.5378,1.43614932022
17,0.52745,1.3274742754,0.5548,1.4148125658
18,0.5317,1.31927099819,0.5574,1.4018551609
19,0.53485,1.30432670708,0.5485,1.41161341209
20,0.5405,1.2928962431,0.5653,1.38871042156
21,0.54665,1.27950587273,0.5546,1.38900594254
22,0.550225,1.27379928589,0.568,1.37802044792
23,0.55465,1.25875822754,0.5654,1.36835780315
24,0.558125,1.25131031036,0.5718,1.35759598999
0,0.2127,2.13058820114,0.2733,2.05848485641
1,0.3009,1.94624140091,0.3298,1.91894197617
2,0.339575,1.85335556297,0.366,1.82718290215
3,0.365025,1.79298419476,0.3972,1.77313188553
4,0.38155,1.74181822586,0.4142,1.73574318123
5,0.39745,1.70405445328,0.4282,1.68714218903
6,0.412975,1.66816270866,0.435,1.64632065849
7,0.423625,1.63353421364,0.4469,1.59974746246
8,0.432675,1.60169648552,0.4532,1.57247239189
9,0.4426,1.56600437336,0.4679,1.52943603325
10,0.451125,1.54281297665,0.4729,1.5104169672
11,0.459125,1.51234999275,0.4793,1.48772370529
12,0.471275,1.48535218697,0.4961,1.44618222389
13,0.4764,1.46825640602,0.4933,1.4296743475
14,0.48315,1.44347355347,0.5054,1.407420327
15,0.4938,1.42526213474,0.5081,1.39011516247
16,0.500225,1.40617049484,0.512,1.37740157356
17,0.506325,1.38530370979,0.5229,1.35096283607
18,0.513275,1.36485598869,0.5261,1.33880342197
19,0.519275,1.3478547493,0.5216,1.33891318436
20,0.523375,1.33370072918,0.5408,1.30129121857
21,0.53095,1.31907228127,0.5238,1.31787330055
22,0.53655,1.30644146194,0.5379,1.29025660324
23,0.538825,1.29669769554,0.542,1.28744940357
24,0.5462,1.28436499405,0.5556,1.25133525963
0,0.206075,2.13108867493,0.2898,2.08860461578
1,0.299975,1.94338664265,0.3531,1.98318416939
2,0.343975,1.84533231373,0.3824,1.90204175606
3,0.366475,1.78032637177,0.4051,1.85821836014
4,0.387,1.72197513599,0.4261,1.78768560867
5,0.404275,1.67044148197,0.4428,1.73431314087
6,0.420225,1.61578961449,0.4605,1.68306010094
7,0.436,1.57190643463,0.4655,1.64531633453
8,0.4494,1.53186095924,0.4815,1.60882791862
9,0.462475,1.50309411678,0.4885,1.58541425171
10,0.469025,1.47651502838,0.49,1.55684593716
11,0.479425,1.44702625465,0.5029,1.52957932205
12,0.4865,1.42328229065,0.5149,1.50174211731
